citation_key,title,authors,year,relevance,utility,cited,source
Combining_knowl_Friedr_2024,Combining knowledge bases for small wins in peripheral regions. An analysis of the role of innovation intermediaries in sustainability transitions,"Friedrich, Christoph and Feser, Daniel",2024,4,4,true,fuzzy_cite
The_Future_of_P_Barzot_2020,The Future of Place-Based Innovation Policy (As IF ‘Lagging Regions’ Really Mattered),"Barzotto, Mariachiara and Corradini, Carlo and Fai, Felicia ",2020,4,4,true,fuzzy_cite
Smart_specialis_Barzot_2020,"Smart specialisation, Industry 4.0 and lagging regions: some directions for policy","Barzotto, Mariachiara and Corradini, Carlo and Fai, Felicia ",2020,4,4,true,fuzzy_cite
New_tech_spaces_Ciapet_2018,New tech spaces for old tech places? Exploring the network of research and technology organizations across North Italian Regions,"Ciapetti, Lorenzo and Perulli, Paolo",2018,4,4,true,fuzzy_cite
Sustainable_and_Benner_2024,Sustainable and inclusive development in left-behind places,"Benner, Maximilian and Trippl, Michaela and Hassink, Robert",2024,4,4,true,fuzzy_cite
Bridging_Europe_Chumac_2025,Bridging Europe’s Innovation Divide: How European Union Research Policy Drives Growth in Less Developed Regions,"Chumachenko, Artem and Olechnicka, Agnieszka and Ploszaj, Ad",2025,4,4,true,fuzzy_cite
Research_and_te_Khelfa_2023,Research and technology organizations as entrepreneurship instruments: the case of the Institut National d’Optique in the Canadian optics and photonics industry,"Khelfaoui, Mahdi and Bernier, Luc",2023,4,4,true,fuzzy_cite
The_Role_of_Pro_Nilsen_2018,The Role of Proximity Dimensions in Facilitating University-Industry Collaboration in Peripheral Regions: Insights from a Comparative Case Study in Northern Norway,"Nilsen, Trond and Lauvås, Thomas Andre",2018,3,3,true,add_paper
Governance_of_t_Arangu_2019,Governance of the territorial entrepreneurial discovery process: looking under the bonnet of RIS3,"Aranguren, Mari José and Magro, Edurne and Navarro, Mikel an",2019,3,3,true,add_paper
The_innovative_Bednar_2022,The innovative potential of scientific and research units in the process of entrepreneurial discovery — examples from selected eu regions,"Bednarczyk, Gabriel and Trzmielak, Dariusz M.",2022,3,3,true,add_paper
Translating_Sma_Laranj_2022,Translating Smart Specialisation and entrepreneurial discovery into a process-oriented policy,"Laranja, Manuel",2022,3,3,true,add_paper
The_Regional_In_Oughto_2002,The Regional Innovation Paradox: Innovation Policy and Industrial Policy,"Oughton, Christine and Landabaso, Mikel and Morgan, Kevin",2002,3,3,false,add_paper
Contrasting_Reg_Smith_1998,Contrasting Regional Innovation Systems in Oxford and Cambridge,"Smith, Helen Lawton and Keeble, David and Lawson, Clive and ",1998,3,3,false,add_paper
